textID,text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km²),Density (P/Km²),Cleaned_Review,Sentiment
f7718b3c23,"i`m going into a spiritual stagnentation, its exploding my ego!. i now realise, i`m not all that great. and i`m ok with that.",neutral,noon,21-30,Bhutan,771608.0,38100.0,20.0,im going into a spiritual stagnentation its exploding my ego i now realise im not all that great and im ok with that,Positive
9ef44428d0,stupid storm. no river for us tonight,negative,night,31-45,Bolivia,11673021.0,1083300.0,11.0,stupid storm no river for us tonight,Negative
be634ebeb0,my dead grandpa pays more attention to me than you do,negative,morning,46-60,Bosnia and Herzegovina,3280819.0,51000.0,64.0,my dead grandpa pays more attention to me than you do,Positive
3dcf4f7e13,"... need retail therapy, bad. ahhh.....gimme money geebus",negative,noon,60-70,Botswana,2351627.0,566730.0,4.0, need retail therapy bad ahhhgimme money geebus,Negative
f0ef04109b,about to go to sleep,neutral,night,70-100,Brazil,212559417.0,8358140.0,25.0,about to go to sleep,Neutral
8be365118e, you are lame  go make me breakfast!!,negative,morning,0-20,Brunei,437479.0,5270.0,83.0, you are lame  go make me breakfast,Negative
c50bdd4567, thats so cool,positive,noon,21-30,Bulgaria,6948445.0,108560.0,64.0, thats so cool,Positive
334954f215,"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)",neutral,night,31-45,Burkina Faso,20903273.0,273600.0,76.0,hey peoples dont you just hate being grounded haha im just sat eating an apple and watching death note some anime,Negative
b783916431,"huh, another scarepoint coding sunday",neutral,morning,46-60,Burundi,11890784.0,25680.0,463.0,huh another scarepoint coding sunday,Neutral
1fa8e6ad66, look who i found just for you  --->  http://twitter.com/djt2009,positive,noon,60-70,Côte d'Ivoire,26378274.0,318000.0,83.0, look who i found just for you    ,Neutral
be38b29042,"no ac, the fan doesnt swing our way ... we are sweating it out on a hot humid day",negative,night,70-100,Cabo Verde,555987.0,4030.0,138.0,no ac the fan doesnt swing our way  we are sweating it out on a hot humid day,Positive
95701e8ed9, guess that depends on if you want to be on the jury,neutral,morning,0-20,Cambodia,16718965.0,176520.0,95.0, guess that depends on if you want to be on the jury,Neutral
4dd58ecd2c,resorted to eating mickey ds alone.,neutral,noon,21-30,Cameroon,26545863.0,472710.0,56.0,resorted to eating mickey ds alone,Neutral
cf553cccd5,"there is a faux gothy chick looking at me, sorry i am not going to camden and i like pop-punk and jimmy eat world",neutral,night,31-45,Canada,37742154.0,9093510.0,4.0,there is a faux gothy chick looking at me sorry i am not going to camden and i like poppunk and jimmy eat world,Negative
55c69c2d52, did he ask for your twitter id? your sun sign?,neutral,morning,46-60,Central African Republic,4829767.0,622980.0,8.0, did he ask for your twitter id your sun sign,Neutral
9b1a52cc02, where`d you go!,neutral,noon,60-70,Chad,16425864.0,1259200.0,13.0, whered you go,Neutral
cce5c4744a,watching body of lies...good film,positive,night,70-100,Chile,19116201.0,743532.0,26.0,watching body of liesgood film,Neutral
c7f9d559e2,happy mothers day mumm  xoxo,positive,morning,0-20,China,1439323776.0,9388211.0,153.0,happy mothers day mumm  xoxo,Positive
3d2478db59,so i really need to put the laptop down & start getting ready for  shindig...but i`ve missed my twitterloves all day,neutral,noon,21-30,Colombia,50882891.0,1109500.0,46.0,so i really need to put the laptop down  start getting ready for  shindigbut ive missed my twitterloves all day,Positive
6d846d7d50, i`m sorry  at least it`s friday?,negative,night,31-45,Comoros,869601.0,1861.0,467.0, im sorry  at least its friday,Negative
599f51af6b,"feels sorry every time i`m printing out, i use like 200 new papers",negative,morning,46-60,Congo (Congo-Brazzaville),5518087.0,342000.0,16.0,feels sorry every time im printing out i use like  new papers,Negative
87daa62920, 4n? ma rog  never heard of it  esti beat acum? u tweet too much,negative,noon,60-70,Costa Rica,5094118.0,51060.0,100.0, n ma rog  never heard of it  esti beat acum u tweet too much,Positive
6506dc55ff, i always forget something when i travel. i am at newark airport.,neutral,night,70-100,Croatia,4105267.0,55960.0,73.0, i always forget something when i travel i am at newark airport,Neutral
746d87f93e,should have left car and walked home! i might need someone to rescue me with petrol! light flashing,neutral,morning,0-20,Cuba,11326616.0,106440.0,106.0,should have left car and walked home i might need someone to rescue me with petrol light flashing,Positive
ef7ef8e474,i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.,neutral,noon,21-30,Cyprus,1207359.0,9240.0,131.0,im only updating this so that bretts phone beeps  but really looking at wedding stuff againfor the next five months,Positive
d3d7b13278," hi there.  i agree!  small children should be running about happy, not breaking down in tears",positive,night,31-45,Czechia (Czech Republic),10708981.0,77240.0,139.0, hi there  i agree  small children should be running about happy not breaking down in tears,Positive
ddc07db84e,  hope ur havin fun in da club,positive,morning,46-60,Democratic Republic of the Congo,89561403.0,2267050.0,40.0,  hope ur havin fun in da club,Positive
67afe60d31,i miss my old phone it worked so good until i dropped it  i want a new one for my birthday...,neutral,noon,60-70,Denmark,5792202.0,42430.0,137.0,i miss my old phone it worked so good until i dropped it  i want a new one for my birthday,Positive
17d18ba9ef,thinks sg is wonderful,positive,night,70-100,Djibouti,988000.0,23180.0,43.0,thinks sg is wonderful,Positive
ab57d75f20,  im really sorry i know wallah how u feel this life is shittttttttt,negative,morning,0-20,Dominica,71986.0,750.0,96.0,  im really sorry i know wallah how u feel this life is shittttttttt,Negative
f0acd25d8e,not happy,negative,noon,21-30,Dominican Republic,10847910.0,48300.0,225.0,not happy,Negative
cf3b068b03,is watching acoustic performances! & in the mood for a good 'friends' episode! i miss that show,neutral,night,31-45,Ecuador,17643054.0,248360.0,71.0,is watching acoustic performances  in the mood for a good friends episode i miss that show,Positive
d6c34fa875, i`ll oscillate from one to the other.,neutral,morning,46-60,Egypt,102334404.0,995450.0,103.0, ill oscillate from one to the other,Negative
614aed9113,i`m so very tired...and have insomnia.,negative,noon,60-70,El Salvador,6486205.0,20720.0,313.0,im so very tiredand have insomnia,Positive
dfa577d3c1, thanks ennio,positive,night,70-100,Equatorial Guinea,1402985.0,28050.0,50.0, thanks ennio,Positive
10dcbe4dfb, you should totally come get me and bring me to kelslaws house with you.,neutral,morning,0-20,Eritrea,3546421.0,101000.0,35.0, you should totally come get me and bring me to kelslaws house with you,Neutral
a0bfb12773," you seem nice, you`re generous and you know your stuff",positive,noon,21-30,Estonia,1326535.0,42390.0,31.0, you seem nice youre generous and you know your stuff,Positive
71f4a9b495, u so dirrrrrty... why oh why did i pick the hawks  i figured i needed a longshot and they were a better bet than car,neutral,night,31-45,"Eswatini (fmr. ""Swaziland"")",1160164.0,17200.0,67.0, u so dirrrrrty why oh why did i pick the hawks  i figured i needed a longshot and they were a better bet than car,Positive
d33ed264b3,almost got a kitty yesterday...but it didn`t work out,neutral,morning,46-60,Ethiopia,114963588.0,1000000.0,115.0,almost got a kitty yesterdaybut it didnt work out,Neutral
77f88ea9e2,"reality needs to check in. schools over. time to party  not tonight tho, im going to bed. night, night.",neutral,noon,60-70,Fiji,896445.0,18270.0,49.0,reality needs to check in schools over time to party  not tonight tho im going to bed night night,Neutral
fe1deac869,   caladesi was definitely a nice peaceful way to spend a sunday! i got a lil tan!,positive,night,70-100,Finland,5540720.0,304000.0,18.0,   caladesi was definitely a nice peaceful way to spend a sunday i got a lil tan,Positive
e591a725ef, i still dont know what we would do though,neutral,morning,0-20,France,65273511.0,547557.0,119.0, i still dont know what we would do though,Neutral
2dbb28cc29,"_xo   dang it, so its not certain ? ? ? are you okay?",neutral,noon,21-30,Gabon,2225734.0,257670.0,9.0,xo   dang it so its not certain    are you okay,Positive
a7e4ad250a,change of plans. i am staying in brandon.  no papaya salad for me.,neutral,night,31-45,Gambia,2416668.0,10120.0,239.0,change of plans i am staying in brandon  no papaya salad for me,Neutral
7d87899024,"dear rain, you suck. now i gotta change my plans for tonight",negative,morning,46-60,Georgia,3989167.0,69490.0,57.0,dear rain you suck now i gotta change my plans for tonight,Neutral
461b51fa58,at starbucks with my love. eff school. i have work later too.,neutral,noon,60-70,Germany,83783942.0,348560.0,240.0,at starbucks with my love eff school i have work later too,Positive
c31d79c440,i just cried whilst watching hollyoaks  .. i need a life! lol,negative,night,70-100,Ghana,31072940.0,227540.0,137.0,i just cried whilst watching hollyoaks   i need a life lol,Positive
32ee7ef6c2,"hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely",positive,morning,0-20,Greece,10423054.0,128900.0,81.0,hi all just recovering from a party looking forward to an exciting bank holiday around the diy shopslife cant get much bettersurely,Positive
29f805a7d2,terminator salvation... by myself.,neutral,noon,21-30,Grenada,112523.0,340.0,331.0,terminator salvation by myself,Neutral
d41fe360e4," for...the...loss. dumbface  ...him, not u. what u up to on the wknd? i wanna seeeeeee ya!",negative,night,31-45,Guatemala,17915568.0,107160.0,167.0, fortheloss dumbface  him not u what u up to on the wknd i wanna seeeeeee ya,Neutral
a04c8c8695, why do i have to enter my registration details every time i update?,neutral,morning,46-60,Guinea,13132795.0,246000.0,53.0, why do i have to enter my registration details every time i update,Neutral
25e42b2bf2,"on the monday, so i wont be able to be with you!  i love you",positive,noon,60-70,Guinea-Bissau,1968001.0,28120.0,70.0,on the monday so i wont be able to be with you  i love you,Positive
5843d17b1d," ur so cute..i`m a fan of dream a little dream, this kiss and appearances like in dawson`s creek  make more flicks!",positive,night,70-100,Guyana,786552.0,196850.0,4.0, ur so cuteim a fan of dream a little dream this kiss and appearances like in dawsons creek  make more flicks,Positive
474d10ff48, tgif is right...i think i broke my toe last night - on my bad foot.,neutral,morning,0-20,Haiti,11402528.0,27560.0,414.0, tgif is righti think i broke my toe last night  on my bad foot,Negative
38e69da3a1," oherr it`s soon then, do you have plans? i had a party on saturday  x",neutral,noon,21-30,Holy See,801.0,0.0,2003.0, oherr its soon then do you have plans i had a party on saturday  x,Neutral
972dc5787d,_lamont yr very young looking dude,positive,night,31-45,Honduras,9904607.0,111890.0,89.0,lamont yr very young looking dude,Positive
0ba6aaf9aa,": hmmm, wrong link, ignore my tweet",negative,morning,46-60,Hungary,9660351.0,90530.0,107.0, hmmm wrong link ignore my tweet,Negative
7a81537034,at&t cheated the system and now i have no green day tickets  **** you at&t!,negative,noon,60-70,Iceland,341243.0,100250.0,3.0,att cheated the system and now i have no green day tickets   you att,Positive
311d2b185b,tracy and berwick breaks my achy breaky heart  they split ways in the hallways.,negative,night,70-100,India,1380004385.0,2973190.0,464.0,tracy and berwick breaks my achy breaky heart  they split ways in the hallways,Neutral
1e46d72ec6," yep, i wish they were all playing dubiln",positive,morning,0-20,Indonesia,273523615.0,1811570.0,151.0, yep i wish they were all playing dubiln,Neutral
390f169584, im a lady and ladies don`t move couches. they direct where the couches go,neutral,noon,21-30,Iran,83992949.0,1630000.0,52.0, im a lady and ladies dont move couches they direct where the couches go,Positive
58129e4130, yay for block party!  you`re the bomb! blockheads <3 dave!   thanks for supporting nkotb!,positive,night,31-45,Iraq,40222493.0,434320.0,93.0, yay for block party  youre the bomb blockheads  dave   thanks for supporting nkotb,Positive
e6c9e5e3ab, 26th february,neutral,morning,46-60,Ireland,4937786.0,68890.0,72.0, th february,Neutral
cb5e709de8,guess what? mom adopted a kitty today (11 months) his name is corky,neutral,noon,60-70,Israel,8655535.0,21640.0,400.0,guess what mom adopted a kitty today  months his name is corky,Neutral
a14b4ff440,happy birthday snickers!!!! ? i hope you have the best day ever! let`s go shopping!!!,positive,night,70-100,Italy,60461826.0,294140.0,206.0,happy birthday snickers  i hope you have the best day ever lets go shopping,Positive
5d57a5eda2, thank you!  i`m working on `s,positive,morning,0-20,Jamaica,2961167.0,10830.0,273.0, thank you  im working on s,Neutral
1e3561e921, lol man i got 2 1 /2 hrs an iont how i woulda made it wit out my ramen noodles and t.v. time,neutral,noon,21-30,Japan,126476461.0,364555.0,347.0, lol man i got    hrs an iont how i woulda made it wit out my ramen noodles and tv time,Positive
c2ea5cb58b,not feeling all that well today,negative,night,31-45,Jordan,10203134.0,88780.0,115.0,not feeling all that well today,Neutral
cde0016d6d,"http://twitpic.com/4wp8s - my ear hurts, and this is my medicine. gum",negative,morning,46-60,Kazakhstan,18776707.0,2699700.0,7.0,  my ear hurts and this is my medicine gum,Neutral
5fc411e8d1,_berland lmao i know i know,neutral,noon,60-70,Kenya,53771296.0,569140.0,94.0,berland lmao i know i know,Positive
5ffb19ae8f,gnight shar   <(` `<)vega(>` `)>,neutral,night,70-100,Kiribati,119449.0,810.0,147.0,gnight shar    vega ,Neutral
76da985a47,the underwire in my bra is sticking out and poking me in the armpit,negative,morning,0-20,Kuwait,4270571.0,17820.0,240.0,the underwire in my bra is sticking out and poking me in the armpit,Neutral
3a98aa4762,happy mothers day!!!,positive,noon,21-30,Kyrgyzstan,6524195.0,191800.0,34.0,happy mothers day,Positive
886545bbab,"yes, i am",neutral,night,31-45,Laos,7275560.0,230800.0,32.0,yes i am,Neutral
2afe118dc3, i can`t call mitch!  im from sweden!,neutral,morning,46-60,Latvia,1886198.0,62200.0,30.0, i cant call mitch  im from sweden,Neutral
704c53f4cf,happy star wars day! may the fourth be with you,positive,noon,60-70,Lebanon,6825445.0,10230.0,667.0,happy star wars day may the fourth be with you,Positive
71fa60d9ff,was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,neutral,night,70-100,Lesotho,2142249.0,30360.0,71.0,was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,Negative
c238c4dbb7,i just watched marley & me...i cried so hard!,negative,morning,0-20,Liberia,5057681.0,96320.0,53.0,i just watched marley  mei cried so hard,Negative
dc73e85417,take antibacterial to school to clean your hands when you cant go the loos,neutral,noon,21-30,Libya,6871292.0,1759540.0,4.0,take antibacterial to school to clean your hands when you cant go the loos,Positive
af63915fa9,i`m leaving work now. trying to decide if i return on sunday afternoon or monday 4 am to meet a noon (uk time) deadline.,neutral,night,31-45,Liechtenstein,38128.0,160.0,238.0,im leaving work now trying to decide if i return on sunday afternoon or monday  am to meet a noon uk time deadline,Neutral
eb2fc4d281, haaaw..well i get out of class at 10:50..i hope i make it,positive,morning,46-60,Lithuania,2722289.0,62700.0,43.0, haaawwell i get out of class at i hope i make it,Neutral
f9382a1f7b,"oooh, sunshine! a patch of sunshine! and it will be gone by the time i leave work and replaced with rain.  /vent",neutral,noon,60-70,Luxembourg,625978.0,2590.0,242.0,oooh sunshine a patch of sunshine and it will be gone by the time i leave work and replaced with rain  vent,Neutral
54670ca807,skype call with billie but my webcam dont work,neutral,night,70-100,Madagascar,27691018.0,581795.0,48.0,skype call with billie but my webcam dont work,Neutral
3ab338c459,"just had a great study time followed by a delicious japanese meal with arty! now, trying to get back into the study mood",positive,morning,0-20,Malawi,19129952.0,94280.0,203.0,just had a great study time followed by a delicious japanese meal with arty now trying to get back into the study mood,Positive
c7c7f7f025,fml not having a car is prohibiting finding a job,negative,noon,21-30,Malaysia,32365999.0,328550.0,99.0,fml not having a car is prohibiting finding a job,Neutral
1256e6a4d2,"  lol since i got twitter a little while ago, it seems like loads of people setting up an account",neutral,night,31-45,Maldives,540544.0,300.0,1802.0,  lol since i got twitter a little while ago it seems like loads of people setting up an account,Positive
990cdeae87, i want to see david cook!!,positive,morning,46-60,Mali,20250833.0,1220190.0,17.0, i want to see david cook,Neutral
9a55d83c79, yeh me 2,neutral,noon,60-70,Malta,441543.0,320.0,1380.0, yeh me ,Neutral
c8307a482d, learning tat the scenic way  din plan to go town but somehow was herded there?,neutral,night,70-100,Marshall Islands,59190.0,180.0,329.0, learning tat the scenic way  din plan to go town but somehow was herded there,Neutral
0a21b662a4," i don`t want to do anything specific, i just want to see you and puppy!",neutral,morning,0-20,Mauritania,4649658.0,1030700.0,5.0, i dont want to do anything specific i just want to see you and puppy,Neutral
297f7d9e0f, yeah i need his fricken cell number ive tried his home for months and hes too busy. i miss braddddddddd,negative,noon,21-30,Mauritius,1271768.0,2030.0,626.0, yeah i need his fricken cell number ive tried his home for months and hes too busy i miss braddddddddd,Positive
68901906a4,toy story 3 trailer premiered with up. i need my computer back.,neutral,night,31-45,Mexico,128932753.0,1943950.0,66.0,toy story  trailer premiered with up i need my computer back,Neutral
3112944847,ughh on the phone with hp!,neutral,morning,46-60,Micronesia,115023.0,700.0,164.0,ughh on the phone with hp,Neutral
8f8334ffa2,and- hand made by dan & jenn -sock blockers ... made from exotic woods ... one of which is called 'purple heart',neutral,noon,60-70,Moldova,4033963.0,32850.0,123.0,and hand made by dan  jenn sock blockers  made from exotic woods  one of which is called purple heart,Positive
322546026e, yay about breaking 200!,positive,night,70-100,Monaco,39242.0,1.0,26337.0, yay about breaking ,Neutral
e6c154f9be, bahah sadly i am not,negative,morning,0-20,Mongolia,3278290.0,1553560.0,2.0, bahah sadly i am not,Positive
e96d849b35, i always have those for my champions league parties  tis awesome,positive,noon,21-30,Montenegro,628066.0,13450.0,47.0, i always have those for my champions league parties  tis awesome,Positive
124e30d941," well, not all. just stay away from those kinds and surround yourself with those who don`t. happy mother`s day to ur mom, treiz!",positive,night,31-45,Morocco,36910560.0,446300.0,83.0, well not all just stay away from those kinds and surround yourself with those who dont happy mothers day to ur mom treiz,Positive
fbb5742bbb,_adel they didn`t reply yet.. wait till they confirm.. in case somebody might have translated it already..,neutral,morning,46-60,Mozambique,31255435.0,786380.0,40.0,adel they didnt reply yet wait till they confirm in case somebody might have translated it already,Neutral
e90acf3c42, thats rough. hubby had knee surgery but it did help him in the end. let us know the results. we`ll keep him in our prayers,negative,noon,60-70,Myanmar (formerly Burma),54409800.0,653290.0,83.0, thats rough hubby had knee surgery but it did help him in the end let us know the results well keep him in our prayers,Negative
0b0944285d,might have to go back much earlier than expected. bye bye bay area,neutral,night,70-100,Namibia,2540905.0,823000.0,3.0,might have to go back much earlier than expected bye bye bay area,Negative
a11da2d3bf,"playin city of villains, wishin my buddies were playin with me.....",positive,morning,0-20,Nauru,10824.0,20.0,541.0,playin city of villains wishin my buddies were playin with me,Neutral
161bfc7c8a," yep - three things: a good haircut, the ability to listen and the value of not taking yourself too seriously",positive,noon,21-30,Nepal,29136808.0,143350.0,203.0, yep  three things a good haircut the ability to listen and the value of not taking yourself too seriously,Positive
4a65010643, riley hacked my twitter!  hahaha :],neutral,night,31-45,Netherlands,17134872.0,33720.0,508.0, riley hacked my twitter  hahaha ,Positive
1b460c82f0,big sad face   bing doesn`t work on iphone.  it just takes you to the regular mobile live search.,neutral,morning,46-60,New Zealand,4822233.0,263310.0,18.0,big sad face   bing doesnt work on iphone  it just takes you to the regular mobile live search,Negative
43e91a5488, i liked it.  did you record it yourself?  if so you have a very soothing voice.,positive,noon,60-70,Nicaragua,6624554.0,120340.0,55.0, i liked it  did you record it yourself  if so you have a very soothing voice,Positive
410dd99aa3,man im so sad school is ending  but then again high school might be better :o,neutral,night,70-100,Niger,24206644.0,1266700.0,19.0,man im so sad school is ending  but then again high school might be better o,Positive
b3eadfc565," folks thought it was hilarious when i told them the story, and then they saw the shirt i wore tonight.  laughter all night.",positive,morning,0-20,Nigeria,206139589.0,910770.0,226.0, folks thought it was hilarious when i told them the story and then they saw the shirt i wore tonight  laughter all night,Positive
480894125b, you`re the absoute best,positive,noon,21-30,North Korea,25778816.0,120410.0,214.0, youre the absoute best,Positive
001617fca4,oh my god!!! i cried so much!!! watch this guys from bgt  http://bit.ly/5t5xz,neutral,night,31-45,North Macedonia,2083374.0,25220.0,83.0,oh my god i cried so much watch this guys from bgt  ,Positive
52f2f23473,my near daily exercise is starting to show results.,neutral,morning,46-60,Norway,5421241.0,365000.0,15.0,my near daily exercise is starting to show results,Positive
e7e27b0c91, welcome!,positive,noon,60-70,Oman,5106626.0,309500.0,16.0, welcome,Positive
834dc73c0c,bout to hit pmark then make one of my final meals wit the housemates..,neutral,night,70-100,Pakistan,220892340.0,770880.0,287.0,bout to hit pmark then make one of my final meals wit the housemates,Neutral
aeb0e9d730,: you get to go home and i have to go to work,neutral,morning,0-20,Palau,18094.0,460.0,39.0, you get to go home and i have to go to work,Neutral
c672c9da1d,voted for  on cmt.com,neutral,noon,21-30,Palestine State,5101414.0,6020.0,847.0,voted for  on cmtcom,Neutral
cbee1946d3,"just got home from a nice party, just not tired yet",positive,night,31-45,Panama,4314767.0,74340.0,58.0,just got home from a nice party just not tired yet,Positive
b1999f0951,now i have a sunburn,negative,morning,46-60,Papua New Guinea,8947024.0,452860.0,20.0,now i have a sunburn,Neutral
25510fbf89,i have the job  this is a nice day it can not be better,positive,noon,60-70,Paraguay,7132538.0,397300.0,18.0,i have the job  this is a nice day it can not be better,Positive
bcb9426abb,i wish i could go to #bea this weekend.,positive,night,70-100,Peru,32971854.0,1280000.0,26.0,i wish i could go to bea this weekend,Neutral
0d29624200,"i <3 rupert grint......& of the boy, ive accepted tht i do fancy him  but im certain he doesnt feel the same so its not worth telling him",neutral,morning,0-20,Philippines,109581078.0,298170.0,368.0,i  rupert grint of the boy ive accepted tht i do fancy him  but im certain he doesnt feel the same so its not worth telling him,Positive
3f0f5891ab, love your books,positive,noon,21-30,Poland,37846611.0,306000.0,124.0, love your books,Positive
0b34e66ea3,ok so this eye doctor guy is taking forever and i`m sitting in a cold room by myself...what? a jerk!,negative,night,31-45,Portugal,10196709.0,91590.0,111.0,ok so this eye doctor guy is taking forever and im sitting in a cold room by myselfwhat a jerk,Negative
11de8c0456,im slowing on my tweets..cuase i lost my phone,negative,morning,46-60,Qatar,2881053.0,11610.0,248.0,im slowing on my tweetscuase i lost my phone,Neutral
d5712716e9, well thank your phone for me.,positive,noon,60-70,Romania,19237691.0,230170.0,84.0, well thank your phone for me,Neutral
3f90f95beb, why would they take a photo with stuffed animals?! that`s pretty funny,positive,night,70-100,Russia,145934462.0,16376870.0,9.0, why would they take a photo with stuffed animals thats pretty funny,Positive
c108e09b19,tweetdeck is acting really strange! hum........ reinstall maybe. update on the horizon? or is it just another adobe memory leak,neutral,morning,0-20,Rwanda,12952218.0,24670.0,525.0,tweetdeck is acting really strange hum reinstall maybe update on the horizon or is it just another adobe memory leak,Negative
7223fdccc2,tikcets are only ã¯â¿â½91...each...but i so want to go,positive,noon,21-30,Saint Kitts and Nevis,53199.0,260.0,205.0,tikcets are only eachbut i so want to go,Neutral
f254748cdb, happy mothers day,positive,night,31-45,Saint Lucia,183627.0,610.0,301.0, happy mothers day,Positive
256453d14f, it`s gonna be hot here today too. today is ryan`s last day of pre-k. i can`t believe it!  i`ve been a sahm since i had him!,negative,morning,46-60,Saint Vincent and the Grenadines,110940.0,390.0,284.0, its gonna be hot here today too today is ryans last day of prek i cant believe it  ive been a sahm since i had him,Positive
8fd01857a9,is dreaming of the weekend... awake!,neutral,noon,60-70,Samoa,198414.0,2830.0,70.0,is dreaming of the weekend awake,Neutral
37227c0dbf,"oh, **** me. i`ve just returned from the supermarket of doom to find that i have nothing to drink here.",negative,night,70-100,San Marino,33931.0,60.0,566.0,oh  me ive just returned from the supermarket of doom to find that i have nothing to drink here,Neutral
20aff2fcb1, yay but you missed naptime,neutral,morning,0-20,Sao Tome and Principe,219159.0,960.0,228.0, yay but you missed naptime,Neutral
ca223af36e,"d-group saturday`s, with a little bit of football, an hour nap, 3 hours of soccer, basketball in the tsu and yogurtland... life`s good",positive,noon,21-30,Saudi Arabia,34813871.0,2149690.0,16.0,dgroup saturdays with a little bit of football an hour nap  hours of soccer basketball in the tsu and yogurtland lifes good,Positive
90977e9614,just set up a new computer again. 15min. i love norton ghost.,positive,night,31-45,Senegal,16743927.0,192530.0,87.0,just set up a new computer again min i love norton ghost,Positive
433b1ab9ea,ahhh my mommie got me new sheets for my bed  so comfy,positive,morning,46-60,Serbia,8737371.0,87460.0,100.0,ahhh my mommie got me new sheets for my bed  so comfy,Positive
37771d1bc1,_celeste  finally some sleep in silence,neutral,noon,60-70,Seychelles,98347.0,460.0,214.0,celeste  finally some sleep in silence,Neutral
fa99046452,im just up :-| and its 12:43 :o  im so lazy thank god its a bank holiday,neutral,night,70-100,Sierra Leone,7976983.0,72180.0,111.0,im just up  and its  o  im so lazy thank god its a bank holiday,Negative
14760477ad,is pretty dang tired. but chambers class is for napping.,negative,morning,0-20,Singapore,5850342.0,700.0,8358.0,is pretty dang tired but chambers class is for napping,Negative
da908a6635,i have to poop...   is hogging the shitter,negative,noon,21-30,Slovakia,5459642.0,48088.0,114.0,i have to poop   is hogging the shitter,Neutral
2053a455e9,yes! im down to 50% full on my dvr  i was at 98% like 3 days ago... lol i swear if i didnt have a dvr i would never watch tv,neutral,night,31-45,Slovenia,2078938.0,20140.0,103.0,yes im down to  full on my dvr  i was at  like  days ago lol i swear if i didnt have a dvr i would never watch tv,Positive
